;iteration;solutions;fitness
16;17;[66, -17, 91, -67, -52, -77, -69, -53, 25, 45, -66, -19, 37, 37, -61, -58, 65, -20, 37, -67, 16, 15, -3, 47, 71, 66, -30, -21, 6, 34];75920
17;18;[-24, -89, 76, 3, -34, -61, 95, -37, -3, 55, 1, -94, 78, 78, 58, 32, -48, -32, 77, -75, 33, -29, 84, -83, -46, -81, -6, 23, -100, -85];115204
18;19;[14, 0, 77, 2, 88, 22, -87, 70, -65, 1, 22, 40, -100, 22, 65, -4, -67, -37, 71, -57, -49, -74, -62, -14, 1, -9, 49, -45, 71, -79];89716
19;20;[-26, 96, -64, -69, -19, 66, -30, -24, -89, -19, 37, -52, 93, 94, -77, -57, -38, -84, -74, -28, -63, 80, -70, -82, 56, 29, 71, -20, -52, -80];119235
20;21;[53, 69, 28, -91, 91, 46, -60, 93, -21, 54, -20, -68, 43, 25, 11, -48, -47, -61, 28, 1, -43, -94, 10, 57, -6, 85, 34, 78, -19, 86];95568
21;22;[38, -26, 86, 59, 89, -21, 82, -31, -79, -54, -40, -40, 6, -55, 15, -75, 10, 70, -61, 4, 30, 85, -41, 19, -3, -24, -8, -8, -32, 71];75994
22;23;[-44, -6, -91, 22, -81, -59, -34, 35, 57, -79, -32, 6, -54, -60, 20, 35, -49, -49, 30, 48, 74, 17, 25, 17, 8, 35, 79, 47, 96, -19];75852
23;24;[7, 21, 51, 74, -8, 88, 15, -54, 79, 57, 49, 8, 1, 18, 31, -88, 54, 16, 61, -86, 4, 98, 71, -92, -83, -48, 81, -74, 40, 47];102954
24;25;[20, -92, 7, 34, 20, 63, 44, 33, -16, 72, -62, 62, 49, 86, -25, 9, 1, 65, -15, -92, 4, -84, -68, -37, -46, -58, -68, 20, 45, 11];79724
25;26;[-12, -37, -37, -40, -23, 87, -59, -46, 60, 38, 79, -84, 21, 54, 33, 54, -49, 61, 22, 33, 98, -36, 61, 23, 98, -89, -23, -84, -25, 21];92901
26;27;[-40, -73, 1, -9, 98, -47, -51, -74, -60, 89, 34, 82, 42, 87, -34, 48, -97, 91, 2, -20, 38, 57, 30, 26, -60, 64, 24, -1, -45, -80];100156
27;28;[45, -54, -16, 37, 24, -80, 74, -51, 13, -62, -10, -41, 59, 65, 10, 52, 92, -92, -12, 25, 80, 13, 44, 77, 2, 84, -26, 78, 23, -86];91799
28;29;[-12, -64, 24, 64, -22, 40, -96, 62, -22, -39, -78, -65, -87, -46, -97, 5, -19, 19, 8, 22, -87, 65, 49, 29, 25, -12, -9, -45, -85, 15];82120
29;30;[-2, 41, -11, -71, 6, 63, 3, -32, -82, 10, -74, -52, 9, 51, 95, 77, 71, 60, -96, 8, -97, -46, 64, -20, -67, -24, -43, 68, -23, -75];96159
